,Municipio,Año,Ingresos,Monto ingresos,Porcentaje ingresos,Egresos,Monto egresos,Porcentaje egresos,Concepto,Total
170,General Zuazua,2010,Ingresos de deuda,0,0.00%,Deuda,32099,0.07%,,
171,General Zuazua,2010,,,,Otros,5580126,12.26%,,
176,Juárez,2010,Ingresos propios,113610242,33.33%,Gasto corriente,200974371,58.97%,Ingresos,340824520
177,Juárez,2010,Ingresos provenientes de transferencias federales,215814561,63.32%,Inversión,125606452,36.85%,Egresos,340824520
178,Juárez,2010,Ingresos de deuda,11399717,3.34%,Deuda,5881849,1.73%,,
179,Juárez,2010,,,,Otros,8361848,2.45%,,
184,Pesquería,2010,Ingresos propios,48059628,55.50%,Gasto corriente,57666363,66.59%,Ingresos,86601695
185,Pesquería,2010,Ingresos provenientes de transferencias federales,30353175,35.05%,Inversión,27389170,31.63%,Egresos,86601695
186,Pesquería,2010,Ingresos de deuda,8188892,9.46%,Deuda,0,0.00%,,
187,Pesquería,2010,,,,Otros,1546162,1.79%,,
188,Salinas Victoria,2010,Ingresos propios,32544560,29.99%,Gasto corriente,64829888,59.74%,Ingresos,108524038
189,Salinas Victoria,2010,Ingresos provenientes de transferencias federales,64267779,59.22%,Inversión,39280994,36.20%,Egresos,108524038
190,Salinas Victoria,2010,Ingresos de deuda,11711699,10.79%,Deuda,29452,0.03%,,
191,Salinas Victoria,2010,,,,Otros,4383704,4.04%,,
196,Santa Catarina,2010,Ingresos propios,165773769,20.07%,Gasto corriente,388691960,47.07%,Ingresos,825835507
197,Santa Catarina,2010,Ingresos provenientes de transferencias federales,380694738,46.10%,Inversión,102641403,12.43%,Egresos,825835507
198,Santa Catarina,2010,Ingresos de deuda,279367000,33.83%,Deuda,181676634,22.00%,,
199,Santa Catarina,2010,,,,Otros,152825510,18.51%,,
200,Santiago,2010,Ingresos propios,69978519,38.99%,Gasto corriente,133109777,74.16%,Ingresos,179493370
201,Santiago,2010,Ingresos provenientes de transferencias federales,87362491,48.67%,Inversión,32496348,18.10%,Egresos,179493370
202,Santiago,2010,Ingresos de deuda,22152360,12.34%,Deuda,4821387,2.69%,,
203,Santiago,2010,,,,Otros,9065858,5.05%,,
204,Abasolo,2015,Ingresos propios,3430263,8.60%,Gasto corriente,14951304,37.47%,Ingresos,39902402
205,Abasolo,2015,Ingresos provenientes de transferencias federales,36472139,91.40%,Inversión,18342768,45.97%,Egresos,39902402
206,Abasolo,2015,Ingresos de deuda,0,0.00%,Deuda,0,0.00%,,
207,Abasolo,2015,,,,Otros,6608330,16.56%,,
212,Cadereyta,2015,Ingresos propios,89163358,24.14%,Gasto corriente,128809095,34.88%,Ingresos,369322487
213,Cadereyta,2015,Ingresos provenientes de transferencias federales,262996783,71.21%,Inversión,22465500,6.08%,Egresos,369322487
214,Cadereyta,2015,Ingresos de deuda,17162346,4.65%,Deuda,6618856,1.79%,,
215,Cadereyta,2015,,,,Otros,211429036,57.25%,,
216,El Carmen,2015,Ingresos propios,32023553,47.61%,Gasto corriente,46336555,68.88%,Ingresos,67268825
217,El Carmen,2015,Ingresos provenientes de transferencias federales,35245272,52.39%,Inversión,13146668,19.54%,Egresos,67268825
218,El Carmen,2015,Ingresos de deuda,0,0.00%,Deuda,27653,0.04%,,
219,El Carmen,2015,,,,Otros,7757949,11.53%,,
220,Ciénaga de Flores,2015,Ingresos propios,70435970,46.54%,Gasto corriente,97799212,64.62%,Ingresos,151349958
221,Ciénaga de Flores,2015,Ingresos provenientes de transferencias federales,79913988,52.80%,Inversión,38174171,25.22%,Egresos,151349958
222,Ciénaga de Flores,2015,Ingresos de deuda,1000000,0.66%,Deuda,1877458,1.24%,,
223,Ciénaga de Flores,2015,,,,Otros,13499117,8.92%,,
224,García,2015,Ingresos propios,232464141,37.69%,Gasto corriente,387351227,62.81%,Ingresos,616745288
225,García,2015,Ingresos provenientes de transferencias federales,384281147,62.31%,Inversión,128339106,20.81%,Egresos,616745288
226,García,2015,Ingresos de deuda,0,0.00%,Deuda,33681360,5.46%,,
227,García,2015,,,,Otros,67373595,10.92%,,
232,General Escobedo,2015,Ingresos propios,490349435,41.61%,Gasto corriente,776169051,65.86%,Ingresos,1178517288
233,General Escobedo,2015,Ingresos provenientes de transferencias federales,688167853,58.39%,Inversión,244370976,20.74%,Egresos,1178517288
234,General Escobedo,2015,Ingresos de deuda,0,0.00%,Deuda,46301755,3.93%,,
235,General Escobedo,2015,,,,Otros,111675506,9.48%,,
236,General Zuazua,2015,Ingresos propios,17349384,17.09%,Gasto corriente,40729406,40.12%,Ingresos,101529937
237,General Zuazua,2015,Ingresos provenientes de transferencias federales,79345800,78.15%,Inversión,31897258,31.42%,Egresos,101529937
238,General Zuazua,2015,Ingresos de deuda,4834753,4.76%,Deuda,24670,0.02%,,
239,General Zuazua,2015,,,,Otros,28878603,28.44%,,
244,Juárez,2015,Ingresos propios,272010515,39.02%,Gasto corriente,487367774,69.91%,Ingresos,697126749
245,Juárez,2015,Ingresos provenientes de transferencias federales,395895260,56.79%,Inversión,104931893,15.05%,Egresos,697127749
